ARID,ESTAB_ARID,UPRN,ADDRESS_TYPE,ESTAB_TYPE,ADDRESS_LEVEL,ABP_CODE,ORGANISATION_NAME,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,TOWN_NAME,POSTCODE,LATITUDE,LONGITUDE,OA,LSOA,MSOA,LAD,REGION,HTC_WILLINGNESS,HTC_DIGITAL,TREATMENT_CODE,FIELDCOORDINATOR_ID,FIELDOFFICER_ID,CE_EXPECTED_CAPACITY
DDR190314000868664313,DDR190314000547609030,30336526371,HH,Household,U,RD02,,728 Moldova Benchmark Alley,,,Doll Village,GG9 5HP,-79.635799,-68.615864,W90187991,W88063270,W88143222,N30435055,W23476599,3,1,HH_1LSFN,,,
DDR190314000908184007,DDR190314000107528788,87452012854,HH,Household,U,RD05,,432 Weekends Confidence Avenue,,,Feeling Town,WB3 2PU,-135.43776,-57.83083,E32357453,E94976041,N55826978,E15740722,N11249163,2,2,HH_1LSFN,,,
DDR190314000116701086,DDR190314000143482284,47365614753,HH,Household,U,RD02,,906 India Intelligent Passage,,,Dublin Town,RB5 6RR,-117.743018,-158.470845,E84703532,N70495824,E79048189,W27230679,E77400504,2,2,HH_1LSFN,,,
DDR190314000211226549,DDR190314000417918646,94056269944,HH,Household,U,RD02,,350 Excluded Causing Lane,,,Finances Hamlet,KQ4 1VF,45.369733,15.467106,W25794539,N77979880,N92896001,W91239211,N19537709,1,3,HH_1LSFN,,,
DDR190314000123739086,DDR190314000460792882,10441222147,HH,Household,U,RD03,,826 Packard Cohen Passage,,,Humanity Hamlet,SJ7 4WT,-172.381932,-21.385448,W88193574,E68447203,W30064469,W93678917,E90713682,2,3,HH_1LSFN,,,
DDR190314000813464981,DDR190314000718722348,70397070189,HH,Household,U,RD03,,812 Trinity Medicaid Alley,,,Remarkable Town,IB4 5QS,-21.843738,-5.234853,E84277037,N70235376,N81902839,N93014019,W85354765,2,5,HH_1LSFN,,,
DDR190314000943941149,DDR190314000377532938,28991230388,HH,Household,U,RD02,,126 Talked Discusses Passage,,,Insider Hamlet,SC5 7XR,2.93632,46.820478,N63442184,W65025201,E50715458,E55108729,N56931731,3,4,HH_1LSFN,,,
DDR190314000634138111,DDR190314000943143422,16147872791,HH,Household,U,RD02,,721 Distributed Hack Road,,,Olympics Hamlet,YJ3 4MO,91.397497,-65.800481,W42203981,N35952249,E60630735,W86289888,N24576690,1,2,HH_1LSFN,,,
DDR190314000942105432,DDR190314000861292416,78849088090,HH,Household,U,RD04,,289 Postposted Levitra Road,,,Patio Village,DE2 7DT,-142.610123,33.262108,W77095918,N46118430,N23327215,E39211385,W80698636,4,1,HH_1LSFN,,,
DDR190314000663759156,DDR190314000974913109,95661107438,HH,Household,U,RD04,,90 Waterproof Morocco Lane,,,Missions Town,PK4 3OT,-144.723307,73.17343,E62092324,N68935824,N80399771,E93774119,E95312759,5,3,HH_1LSFN,,,
