ARID,ESTAB_ARID,UPRN,ADDRESS_TYPE,ESTAB_TYPE,ADDRESS_LEVEL,ABP_CODE,ORGANISATION_NAME,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,TOWN_NAME,POSTCODE,LATITUDE,LONGITUDE,OA,LSOA,MSOA,LAD,REGION,HTC_WILLINGNESS,HTC_DIGITAL,TREATMENT_CODE,FIELDCOORDINATOR_ID,FIELDOFFICER_ID,CE_EXPECTED_CAPACITY
DDR190314000190462466,DDR190314000519461641,12758146291,HH,Household,U,RD05,,959 Pittsburgh Canadian Avenue,,,Accessory Town,FB6 8JF,85.2598,-121.1594,N76315780,E22967968,N39137296,E28365663,W39674048,5,3,HH_1LSFN,,,0
DDR190314000446804569,DDR190314000557432959,62761386447,HH,Household,U,RD05,,263 Rapids Sunday Avenue,,,Reviewer Town,FN7 5VE,-29.6757,-24.2373,E58018083,E55061038,W38893502,N84086698,W68524622,2,2,HH_1LSFN,,,0
DDR190314000754460069,DDR190314000561527031,40437400722,CE,Hall of Residence,E,RD03,,487 Break Atmosphere Lane,,,Favor Village,VB4 2XY,-154.5772,-133.3049,N37523184,N49662049,W32406248,E43923447,W12817523,2,4,HH_1LSFN,,,672
DDR190314000659200468,DDR190314000530147881,19068216694,HH,Household,U,RD04,,269 Spiritual Sunglasses Avenue,,,Noble Hamlet,KC5 8SM,156.4407,175.7011,N42884002,E47317345,E82534961,W51851209,N19979640,2,5,HH_1LSFN,,,0
DDR190314000971360782,DDR190314000967275120,30999140710,HH,Household,U,RD03,,838 Html Calgary Street,,,Brisbane Town,SJ1 3UI,-127.2838,-139.9014,W77942465,N42344043,W98954253,W76421515,N41354045,5,4,HH_1LSFN,,,0
DDR190314000484012633,DDR190314000617371933,81149402827,HH,Household,U,RD02,,271 Snowboard Pins Road,,,Cons Town,OG8 9ZI,140.1359,163.9486,W76338898,E58508318,N65839914,W31942011,E53499008,3,1,HH_1LSFN,,,0
DDR190314000291898813,DDR190314000523213947,74427693233,HH,Household,U,RD06,,592 Casa Forecast Avenue,,,Pound Village,NG8 3LV,-13.1985,48.4589,N62561575,W70322615,N17066739,W76500111,E31922272,3,5,HH_1LSFN,,,0
DDR190314000387539979,DDR190314000376835118,46465603738,HH,Household,U,RD03,,520 Fifty Printers Passage,,,Hopefully Village,LB2 8CU,-175.3542,118.2110,N24169747,W74442517,E66495318,E29174531,W41386064,3,3,HH_1LSFN,,,0
DDR190314000500582349,DDR190314000752770993,38198639829,HH,Household,U,RD04,,6 Airports Cover Road,,,Returning Village,TA7 4KW,-5.7055,96.5861,N55245199,W21554541,N77604396,W94637063,N51238598,3,4,HH_1LSFN,,,0
DDR190314000407938329,DDR190314000178883276,75780880348,HH,Household,U,RD02,,525 Hang Star Street,,,Slope Town,UD9 1XB,-107.8771,-124.4343,W72822362,E77114428,W47767208,N61054834,N49063895,5,1,HH_1LSFN,,,0
DDR190314000931534180,DDR190314000554152186,84334615720,HH,Household,U,RD02,,921 Trading Track Passage,,,Sleeping Town,SJ4 1XP,-37.3680,-149.5076,N91337801,E79494273,N66366156,E96343729,E36640419,5,5,HH_2LEFN,,,0
DDR190314000686648317,DDR190314000636508652,11107536523,HH,Household,U,RD04,,62 Certainly Observations Street,,,Photoshop Town,VN4 6LP,32.5973,-170.7234,E21590940,E94442200,N98158930,E80577135,W96029060,1,5,HH_2LEFN,,,0
DDR190314000630082119,DDR190314000473998489,31475455412,HH,Household,U,RD03,,751 Beats Signing Passage,,,Neighbors City,LM6 6ZX,110.8439,101.2035,N67081741,N63069583,W63659103,E89388172,W86634913,3,3,HH_2LEFN,,,0
DDR190314000922327912,DDR190314000392034355,35892654937,HH,Household,U,RD03,,799 Biodiversity Playing Alley,,,Slideshow Village,AX1 9YC,-35.3929,-78.8211,W48907294,W98673859,N80806274,E35536213,W36245699,5,1,HH_2LEFN,,,0
DDR190314000563470890,DDR190314000580592281,64686254917,HH,Household,U,RD06,,969 Provision Neutral Street,,,Server Town,JI3 3ZK,146.6976,-164.8190,N18004930,W64909555,N36186330,E12405702,E50856905,2,3,HH_2LEFN,,,0
DDR190314000371917544,DDR190314000691425301,11772090381,HH,Household,U,RD04,,146 Grams Bandwidth Alley,,,Trader Village,MG4 7FX,5.7533,147.8038,E84783191,W58150867,N99709742,W82484870,N97992499,3,5,HH_2LEFN,,,0
DDR190314000440006558,DDR190314000916475505,51730287110,HH,Household,U,RD02,,742 Parcel Pricing Passage,,,Condos City,XG8 5YN,52.5037,-12.7244,W60296587,W73245449,W92274164,W86189869,N35106872,1,4,HH_2LEFN,,,0
