UPRN,ESTAB_UPRN,ADDRESS_TYPE,ESTAB_TYPE,ADDRESS_LEVEL,ABP_CODE,ORGANISATION_NAME,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,TOWN_NAME,POSTCODE,LATITUDE,LONGITUDE,OA,LSOA,MSOA,LAD,REGION,HTC_WILLINGNESS,HTC_DIGITAL,TREATMENT_CODE,FIELDCOORDINATOR_ID,FIELDOFFICER_ID,CE_EXPECTED_CAPACITY,CE_SECURE,PRINT_BATCH
48301664477,38364732651,HH,Household,U,RD06,,157 Sizzling Neglector Way,,,Silk Town,CG6 1ZV,-136.6692,-131.6505,N36589062,N59255714,N14552700,N57930823,N95113245,4,3,HH_1LSFN,,,0,0,59
17542767655,87953204946,HH,Household,U,RD02,,256 Deduce Traverse Street,,,Slab Hamlet,MY1 8VP,-47.7438,73.3598,N72357803,N81513259,N68727093,N86515431,N83261700,2,2,HH_1LSFN,,,0,0,97
27511954747,88653503490,HH,Household,U,RD02,,755 Astound Sixties Street,,,Could Hamlet,AH8 5KZ,-99.9504,-27.4924,N42060324,N88110678,N40844993,N17299943,N86183962,2,2,HH_1LSFN,,,0,0,74
18122113683,58640324861,HH,Household,U,RD05,,5 Traitor Broadside Road,,,Dowry Village,FI5 2UQ,113.7167,80.8791,N97973341,N93425654,N10280914,N94604845,N33740963,3,4,HH_1LSFN,,,0,0,5
37119250573,11676496715,HH,Household,U,RD02,,22 Tweet Trodden Avenue,,,Catapult Hamlet,KS9 8QI,48.8931,157.2029,N11250475,N77118595,N68361040,N14024717,N20105380,1,2,HH_1LSFN,,,0,0,89
68437962052,71487844659,HH,Household,U,RD04,,789 Backtalk Threefold Road,,,Whinny Village,HJ4 4PI,-118.3345,101.4343,N20145148,N10830112,N24489730,N84612438,N64333235,2,5,HH_1LSFN,,,0,0,5
98492399892,98481883853,HH,Household,U,RD05,,57 Spendable Oversight Street,,,Sharply Town,DD8 9BT,80.2519,-119.3160,N48569272,N35574394,N16835565,N83686417,N93935953,5,4,HH_1LSFN,,,0,0,99
20645694764,60475625948,HH,Household,U,RD03,,331 Relic Yelp Avenue,,,Visa Hamlet,XB8 9WA,153.4794,-145.2093,N39023642,N79433384,N69829034,N78578775,N78497120,3,4,HH_1LSFN,,,0,0,76
63623780666,59787102564,HH,Household,U,RD05,,351 Unsolved Crisply Road,,,Preteen City,ZK5 2EQ,134.4400,25.3327,N42289784,N90986002,N36675878,N10252465,N73719770,3,1,HH_1LSFN,,,0,0,25
73337928557,19600340400,HH,Household,U,RD03,,466 Nutlike Overreach Alley,,,Grill Hamlet,DV9 8HE,136.9707,163.8373,N63240995,N88087288,N65238032,N74269795,N42896446,4,4,HH_1LSFN,,,0,0,68
73884694878,83904198443,HH,Household,U,RD04,,800 Sedative Previous Alley,,,Postcard City,CJ7 9EP,10.4403,159.1354,N40891417,N88613161,N14639554,N34393293,N93451919,1,4,HH_1LSFN,,,0,0,63
86838489277,12452120713,HH,Household,U,RD04,,238 Rearrange Truce Road,,,Boaster Town,OS4 1AG,-33.4020,-73.3813,N95158366,N39465145,N80030366,N25686040,N87128205,5,5,HH_1LSFN,,,0,0,82
68634193841,67599442841,HH,Household,U,RD04,,500 Designate Chair Street,,,Departed Village,JR6 2KR,-130.6329,75.6667,N53626570,N30779789,N56146383,N49437192,N39904717,3,1,HH_1LSFN,,,0,0,13
83679029895,75547585622,HH,Household,U,RD03,,228 Always Provider Street,,,Jot Hamlet,UQ5 1QF,103.5624,145.3614,N95189826,N57869881,N46788509,N24262038,N18410035,5,3,HH_1LSFN,,,0,0,15
76189000392,51144532877,HH,Household,U,RD06,,384 Gainfully Gallon Lane,,,Duct Village,XO1 2WU,-135.4312,134.7625,N92419149,N49958683,N30639044,N28249915,N81048856,2,5,HH_1LSFN,,,0,0,73
40322760260,42217902619,HH,Household,U,RD05,,180 Waffle Remover Avenue,,,Armband Town,ZI1 8LN,-99.4286,34.7739,N93882235,N17671479,N56306568,N75341419,N50502846,4,2,HH_1LSFN,,,0,0,2
12122240998,20873385782,HH,Household,U,RD04,,816 Carton Laurel Way,,,Yard Hamlet,NB6 1FG,64.4783,33.1471,N91604391,N68548541,N35422002,N55299950,N91800301,2,1,HH_1LSFN,,,0,0,38
87290661478,11373228733,HH,Household,U,RD02,,265 Uncrushed Book Lane,,,Swarm Village,WA4 2OQ,-12.8223,134.8368,N28390999,N53626990,N64618315,N94704161,N99631617,1,5,HH_1LSFN,,,0,0,78
88179396363,44629300840,HH,Household,U,RD06,,492 Stiffness Favorite Road,,,Catcher Village,NY8 2MH,-87.6906,-43.5448,N97466973,N65867543,N27116541,N10027030,N19599328,3,4,HH_1LSFN,,,0,0,73
31877961754,52441680982,HH,Household,U,RD06,,403 Upbeat Snort Alley,,,Buddy Town,BM5 4GO,141.1467,-27.3883,N54046397,N48996185,N16635020,N74165409,N79050389,5,4,HH_1LSFN,,,0,0,29
53688010541,41884380306,HH,Household,U,RD04,,111 Banish Leverage Lane,,,Situation Village,FB2 4TI,22.6378,-116.5761,N58376102,N36295916,N69902783,N99967089,N29715652,4,1,HH_1LSFN,,,0,0,38
57636332017,32222702133,HH,Household,U,RD03,,811 Negotiate Colony Passage,,,Grout Village,SR7 3SR,119.1134,52.8623,N67590911,N73338531,N29835916,N10899054,N55318484,1,2,HH_1LSFN,,,0,0,34
51243460263,26922256061,HH,Household,U,RD02,,533 Skirmish Mousy Lane,,,Grumble Town,CD2 3DJ,-53.2262,-169.3644,N91093858,N62047216,N67497903,N54745028,N43221122,4,4,HH_1LSFN,,,0,0,61
47974422642,16716610622,HH,Household,U,RD02,,761 Astute Escapade Way,,,Enduring Town,LY7 1XF,1.1873,72.5572,N94894237,N94544984,N22592738,N43467258,N41424339,1,2,HH_1LSFN,,,0,0,24
60775467626,47652006813,HH,Household,U,RD02,,894 Demotion Pope Passage,,,Debunk Village,HU6 4CD,99.6223,35.5503,N80486083,N82081438,N50735153,N65312223,N80451138,4,4,HH_1LSFN,,,0,0,20
33286153245,69073334092,HH,Household,U,RD04,,715 Negative Return Lane,,,Slighted City,LX4 2YP,19.5048,-118.9284,N33158789,N30064074,N56725617,N99010921,N84751991,2,3,HH_1LSFN,,,0,0,84
69080443710,79570364251,HH,Household,U,RD05,,515 Elves Spied Street,,,Suitable City,KJ1 1OY,28.5346,33.3676,N47658482,N88711437,N39942902,N49077731,N14671313,4,5,HH_1LSFN,,,0,0,53
91884820863,85007725673,HH,Household,U,RD04,,574 Motor Superman Street,,,Panorama City,OE2 9MR,-57.5449,76.2752,N56136622,N51841529,N79633211,N64544693,N43955396,3,3,HH_1LSFN,,,0,0,74
37000420656,10480000960,HH,Household,U,RD05,,308 Snowshoe Cornflake Way,,,Moneyless Town,PD8 7ZW,81.4309,111.9658,N32256998,N22674341,N24698265,N66487528,N23888245,4,5,HH_1LSFN,,,0,0,3
62386788034,63127869746,HH,Household,U,RD02,,989 Bottling Untagged Street,,,Decidable Town,FF1 9IF,169.4937,-111.8237,N86637407,N96434476,N73018317,N54276183,N62738918,1,3,HH_1LSFN,,,0,0,28
80197273868,78711878181,HH,Household,U,RD02,,332 Employed Humbly Lane,,,Daily Village,KI4 9CL,170.6438,3.3929,N46076355,N71844726,N51557067,N26346760,N76384974,1,4,HH_1LSFN,,,0,0,74
60518367671,82955535725,HH,Household,U,RD03,,951 Crate Reverend Alley,,,Thumping Hamlet,LM5 7OZ,106.6904,122.7851,N36352636,N62092123,N43553875,N94786147,N51317283,3,2,HH_1LSFN,,,0,0,31
65385324376,79987580723,HH,Household,U,RD04,,772 Isolation Exerciser Way,,,Marshy Hamlet,KQ2 5RX,-161.7976,-105.9404,N35038496,N73996778,N66331529,N12669186,N57181392,2,1,HH_1LSFN,,,0,0,72
87095163611,62286929122,HH,Household,U,RD05,,389 Elevation Greyhound Avenue,,,Stegosaur Town,MB6 2TH,-84.9672,-69.7981,N97969104,N98785232,N86006992,N39466254,N99840284,3,2,HH_1LSFN,,,0,0,25
74848828789,37880466452,HH,Household,U,RD04,,672 Wrist Extinct Alley,,,Passerby Hamlet,NB6 6LO,-160.2287,143.3591,N43814926,N42981741,N84589174,N71694598,N25734494,4,3,HH_1LSFN,,,0,0,17
83855510253,12466797365,HH,Household,U,RD02,,893 Happiest Catlike Street,,,Counting Hamlet,ML3 2ZK,-65.1233,169.4532,N24858788,N22661411,N60950244,N32035896,N66649399,2,5,HH_1LSFN,,,0,0,39
46361972338,67445436234,HH,Household,U,RD05,,349 Groggy Scored Road,,,Blemish Town,QA9 2HF,4.2138,20.7659,N55760372,N94530295,N61126593,N24918231,N74493571,1,2,HH_1LSFN,,,0,0,17
59740104463,22126040149,HH,Household,U,RD03,,710 Drift Unworn Avenue,,,Spending City,WP4 9XQ,70.9101,59.9439,N83749266,N97400299,N92842407,N63932163,N33904329,5,5,HH_1LSFN,,,0,0,71
83487683542,33798673273,HH,Household,U,RD06,,852 Snugness Worshiper Passage,,,Ramrod Village,SA2 3NL,40.2293,153.7260,N29100155,N43849548,N42114250,N27332774,N62819975,2,4,HH_1LSFN,,,0,0,9
65475265493,66968830752,HH,Household,U,RD04,,742 Brought Untaken Avenue,,,Nautical Village,GT4 8SW,-103.9924,138.9398,N46695729,N75484571,N87360654,N26553571,N30310195,4,2,HH_1LSFN,,,0,0,63
16845529864,56843789210,HH,Household,U,RD04,,718 Wincing Stylist Alley,,,Blank City,NZ2 3WK,-163.4010,-133.4284,N36756182,N62448246,N76303033,N94107876,N84521804,2,1,HH_1LSFN,,,0,0,93
70089407372,42420614790,HH,Household,U,RD02,,881 Parasitic Excuse Passage,,,Erasable City,VI8 8GP,140.7771,122.3377,N65782073,N79448908,N80698291,N70419360,N45050247,2,3,HH_1LSFN,,,0,0,26
50553828815,88429478085,HH,Household,U,RD05,,749 Safeguard Lanky Avenue,,,Linguist City,CF7 2MQ,16.6338,-3.6122,N50074193,N70044841,N10721304,N23879810,N79177642,2,4,HH_1LSFN,,,0,0,93
19084816289,65040041724,HH,Household,U,RD06,,94 Atop Reveal Passage,,,Graded Town,TH8 4SM,-59.7835,100.4712,N61025599,N25440056,N58011999,N46885286,N33348813,1,4,HH_1LSFN,,,0,0,29
13008521270,70685311012,HH,Household,U,RD03,,177 Pureness Giveaway Passage,,,Lankiness Hamlet,DW5 4TN,63.8576,82.6240,N82364556,N72178094,N10899870,N82828028,N12427344,2,2,HH_1LSFN,,,0,0,60
93663121030,77388818105,HH,Household,U,RD06,,170 Carat Shakily Avenue,,,Surgical Village,SE8 8YH,51.6272,-178.2952,N31748874,N41196826,N35642937,N11250575,N89448517,2,2,HH_1LSFN,,,0,0,86
14800277839,65021574634,HH,Household,U,RD02,,672 Jubilant Aversion Passage,,,Unveiled Hamlet,YT9 5DP,-66.9051,73.9071,N37702150,N54899041,N33511579,N40870585,N53271305,1,3,HH_1LSFN,,,0,0,62
61402210692,10532253517,HH,Household,U,RD04,,266 Preamble Chamber Street,,,Subtype City,MY5 1EB,-88.6112,131.5493,N67641568,N72133125,N32309800,N38248696,N31910045,1,1,HH_1LSFN,,,0,0,57
