UPRN,ESTAB_UPRN,ADDRESS_TYPE,ESTAB_TYPE,ADDRESS_LEVEL,ABP_CODE,ORGANISATION_NAME,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,TOWN_NAME,POSTCODE,LATITUDE,LONGITUDE,OA,LSOA,MSOA,LAD,REGION,HTC_WILLINGNESS,HTC_DIGITAL,TREATMENT_CODE,FIELDCOORDINATOR_ID,FIELDOFFICER_ID,CE_EXPECTED_CAPACITY,CE_SECURE,PRINT_BATCH
60845117551,55709238547,HH,Household,U,RD03,,294 Cathedral Unlovable Street,,,Portal Village,ZD2 6CU,-116.8797,-152.3865,E50647416,W11002324,E93495621,N56806972,N61505466,3,2,HH_1LSFN,,,0,0,73
88878554486,75532804829,HH,Household,U,RD02,,75 Moody Trophy Street,,,Accuracy Hamlet,WK8 3OB,72.9402,-103.6900,W50992589,E73927307,N12256199,N45538938,E69740292,4,2,HH_1LSFN,,,0,0,5
31837519292,17439012099,HH,Household,U,RD06,,689 Shivering Swiftness Alley,,,Steadfast Village,LV6 3MN,89.3639,-51.2435,W41510020,W43788850,N70516913,W35650160,N95473245,3,5,HH_1LSFN,,,0,0,94
61442590606,21713459080,HH,Household,U,RD06,,843 Shortcut Mobilize Street,,,Awry City,WY8 6HL,158.4501,-89.4668,N89698231,E17021945,E89620474,E15873819,N14240810,3,4,HH_1LSFN,,,0,0,58
79151006791,87456624737,HH,Household,U,RD02,,204 Quartet Ajar Alley,,,Fernlike Town,FA9 2IN,92.7201,126.2033,N29978940,W96177149,N87811762,N61346348,N96661564,3,5,HH_1LSFN,,,0,0,5
74185746117,83442880964,HH,Household,U,RD02,,290 Groggy Rust Alley,,,Numbness Village,LZ2 3FZ,34.1553,123.5236,N40831766,W62018887,N26397574,W98711142,W76254912,4,5,HH_1LSFN,,,0,0,29
58268526446,71995270145,HH,Household,U,RD02,,994 Amperage Attention Passage,,,Enroll Hamlet,JZ8 7GW,-7.3541,-12.2867,E77184581,W36780792,W34851641,N78324023,N11219387,1,4,HH_1LSFN,,,0,0,49
36058087975,87803727039,HH,Household,U,RD05,,127 Anew Uncork Lane,,,Unbundle Town,LA9 6CT,-16.6743,-63.4908,E77911633,W27087336,E49101895,W83546813,N96725514,5,3,HH_1LSFN,,,0,0,6
21695617214,56481344275,HH,Household,U,RD04,,236 Shivering Uncivil Road,,,Nearby City,VI8 2BG,-120.4546,-150.8540,N51996409,N78901977,E65113422,N31702584,N14332315,3,1,HH_1LSFN,,,0,0,97
51527278431,33815694964,HH,Household,U,RD02,,887 Conduit Dropkick Passage,,,Untimed Town,ZC7 1UT,-119.1734,174.6538,W57143318,E72530862,W76770854,W88298080,N76291770,4,3,HH_1LSFN,,,0,0,14
